lastname,firstname,eventtype,age,nationality
Röntgen,Wilhelm,Birth,0,German
Röntgen,Wilhelm,Abroad,3,German
Röntgen,Wilhelm,Abroad,20,German
Röntgen,Wilhelm,Doctorate,24,German
Röntgen,Wilhelm,Marriage,27,German
Röntgen,Wilhelm,Abroad,29,German
Röntgen,Wilhelm,Professorship,30,German
Röntgen,Wilhelm,Nobel Prize,56,German
Röntgen,Wilhelm,Death,77,German
Lorentz,Hendrik,Birth,0,Dutch
Lorentz,Hendrik,Undergraduate,18,Dutch
Lorentz,Hendrik,Doctorate,22,Dutch
Lorentz,Hendrik,Professorship,24,Dutch
Lorentz,Hendrik,Marriage,28,Dutch
Lorentz,Hendrik,Nobel Prize,49,Dutch
Lorentz,Hendrik,Death,74,Dutch
Zeeman,Pieter,Birth,0,Dutch
Zeeman,Pieter,Doctorate,28,Dutch
Zeeman,Pieter,Abroad,28,Dutch
Zeeman,Pieter,Abroad,29,Dutch
Zeeman,Pieter,Marriage,29,Dutch
Zeeman,Pieter,Professorship,35,Dutch
Zeeman,Pieter,Nobel Prize,37,Dutch
Zeeman,Pieter,Death,78,Dutch
Becquerel,Henri,Birth,0,French
Becquerel,Henri,Undergraduate,21,French
Becquerel,Henri,Marriage,21,French
Becquerel,Henri,Doctorate,24,French
Becquerel,Henri,Marriage,37,French
Becquerel,Henri,Professorship,39,French
Becquerel,Henri,Nobel Prize,49,French
Becquerel,Henri,Death,55,French
Curie,Pierre,Birth,0,French
Curie,Pierre,Undergraduate,16,French
Curie,Pierre,Postgraduate,18,French
Curie,Pierre,Doctorate,36,French
Curie,Pierre,Marriage,36,French
Curie,Pierre,Professorship,41,French
Curie,Pierre,Nobel Prize,44,French
Curie,Pierre,Death,46,French
Curie,Marie,Birth,0,Polish
Curie,Marie,Abroad,24,Polish
Curie,Marie,Undergraduate,25,Polish
Curie,Marie,Postgraduate,26,Polish
Curie,Marie,Marriage,27,French
Curie,Marie,Doctorate,35,French
Curie,Marie,Nobel Prize,35,French
Curie,Marie,Professorship,38,French
Curie,Marie,Nobel Prize,43,French
Curie,Marie,Death,66,French
Strutt, John, Birth, 0, British
Strutt, John, Undergraduate, 23, British
Strutt, John, Postgraduate, 26, British
Strutt, John, Marriage, 29, British
Strutt, John, Professorship, 37, British
Strutt, John, Doctorate (H.C.), 59, British
Strutt, John, Nobel Prize, 61, British
Strutt, John, Death, 76, British
Lenard, Philipp, Birth, 0, Hungarian
Lenard, Philipp, Abroad, 18, Hungarian
Lenard, Philipp, Abroad, 20, Hungarian
Lenard, Philipp, Abroad, 21, Hungarian
Lenard, Philipp, Doctorate, 24, Hungarian
Lenard, Philipp, Professorship, 32, Hungarian
Lenard, Philipp, Nobel Prize, 43, Hungarian
Lenard, Philipp, Death, 84, German
Thomson, Joseph, Birth, 0, British
Thomson, Joseph, Undergraduate, 23, British
Thomson, Joseph, Postgraduate, 26, British
Thomson, Joseph, Professorship, 28, British
Thomson, Joseph, Marriage, 33, British
Thomson, Joseph, Nobel Prize, 49, British
Thomson, Joseph, Death, 83, British
Michelson, Albert, Birth, 0, German
Michelson, Albert, Abroad, 2, German
Michelson, Albert, Undergraduate, 20, American
Michelson, Albert, Marriage, 24, American
Michelson, Albert, Abroad, 27, American
Michelson, Albert, Abroad, 28, American
Michelson, Albert, Professorship, 30, American
Michelson, Albert, Marriage, 46, American
Michelson, Albert, Nobel Prize, 54, American
Michelson, Albert, Death, 78, American
Lippmann, Gabriel, Birth, 0, French
Lippmann, Gabriel, Abroad, 27, French
Lippmann, Gabriel, Doctorate, 29, French
Lippmann, Gabriel, Abroad, 30, French
Lippmann, Gabriel, Professorship, 33, French
Lippmann, Gabriel, Marriage, 43, French
Lippmann, Gabriel, Nobel Prize, 63, French
Lippmann, Gabriel, Death, 75, French
Karl Ferdinand, Braun, Birth, 0, German
Karl Ferdinand, Braun, Doctorate, 22, German
Karl Ferdinand, Braun, Professorship, 27, German
Karl Ferdinand, Braun, Marriage, 35, German
Karl Ferdinand, Braun, Abroad, 64, German
Karl Ferdinand, Braun, Nobel Prize, 59, German
Karl Ferdinand, Braun, Death, 67, German
Marconi, Guglielmo, Birth, 0, Italian
Marconi, Guglielmo, Marriage, 31, Italian
Marconi, Guglielmo, Nobel Prize, 35, Italian
Marconi, Guglielmo, Marriage, 53, Italian
Marconi, Guglielmo, Death, 63, Italian
Johannes Diderik, van der Waals, Birth, 0, Dutch
Johannes Diderik, van der Waals, Marriage, 27, Dutch
Johannes Diderik, van der Waals, Doctorate, 35, Dutch
Johannes Diderik, van der Waals, Professorship, 39, Dutch
Johannes Diderik, van der Waals, Nobel Prize, 72, Dutch
Johannes Diderik, van der Waals, Death, 85, Dutch
Wien, Wilhelm, Birth, 0, German
Wien, Wilhelm, Doctorate, 22, German
Wien, Wilhelm, Marriage, 34, German
Wien, Wilhelm, Professorship, 35, German
Wien, Wilhelm, Nobel Prize, 47, German
Wien, Wilhelm, Death, 64, German
Dalén, Gustaf, Birth, 0, Swedish
Dalén, Gustaf, Postgraduate, 26, Swedish
Dalén, Gustaf, Doctorate, 26, Swedish
Dalén, Gustaf, Marriage, 30, Swedish
Dalén, Gustaf, Nobel Prize, 42, Swedish
Dalén, Gustaf, Death, 68, Swedish
